filename,notes,authors,licenses,url1,url2,url3,url4,url5,status
body/none.png,,,CC0,,,,,,BAD
weapons/right hand/formal_cane.png,,bluecarrot16,"GPL 3.0, CC-BY-SA 3.0",https://opengameart.org/content/lpc-gentleman,,,,,OK
