filename,notes,authors,licenses,url1,url2,url3,url4,url5,status
body/none.png,,,CC0,,,,,,BAD
weapons/right hand/either/8.png,recurve yellow,"Daniel Eddeland (daneeklu), gr3yh47, Johannes Sjölund (wulax)",CC-BY-SA 3.0,https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,,,,,OK
